mmsi,months_2015
12345888,"7,9,11,12"
200000075,"4,5,6,8,9,10,11,12"
200140810,"2,3,4,5"
211481051,"9,10,11,12"
214182117,"1,2,3,4,9,10,11,12"
224104340,"1,2,3,4,5,6,7,8,9,10,11"
224154000,"1,2,3,4,5,6,7,8"
225378000,"1,2,3,4,5,6,7,8,9,10,11,12"
225980581,"1,2,3,4,5,6,9,10,11,12"
225981169,"5,6,7,8,9,10"
226220000,"1,2,3,4,5,6,7,8,9"
227069470,"4,5,6,7,8,9,10"
227314010,"1,2,3,4,5,6,7,8,9,10,11"
227579000,"1,2,3,4,5,6,7,8,9,10,11,12"
227698770,"1,2,3,4,5,6,7,12"
228827000,"3,4,5,6,7,8,9,10,11,12"
231180000,"1,2,3,4,5,6,7,8,9,10,11,12"
235009920,"2,4,5,6,7,9"
235069725,"3,4,6,12"
235103844,"1,2,3,4,5,6,7,8,9,10,11,12"
237149000,"1,3,4,5,9,10,11,12"
239236000,"6,7,8"
244391106,"5,6,7,8,10"
245369000,"1,2,3,4,5,6,7,8,9,10,11,12"
246161000,"1,2,3,4,5,6,7,8,9,10,11,12"
247073090,"5,6,7"
247081680,"1,2,3,4,5,6,7,8,9,10,11,12"
247149410,"1,2,3,4,5,6,7,8,9,10,11,12"
250103560,"1,2,3,4,5,6,7,8,9,10,11,12"
251030110,"1,2,3,4,5,6,7,8,9,10,11,12"
251140740,"4,5,7"
251243240,"3,4,5,6,7,8,9,11,12"
251415540,"5,6,7,8"
251498240,"6,7,8,9,10,11"
257205500,"1,2,3,4,5,6,7,8,9,10,11,12"
257225000,"1,2,3,4,5,6,7,8,9,10,11,12"
257647500,"1,2,3,4,5,6,10,11"
258094960,"5,6,7,9"
265613880,"4,5,6,7,8,9,10"
271072022,"1,2,3,12"
271072496,"9,10,11,12"
273375800,"1,2,3,4,5,6,7,8,9,10,12"
273810800,"4,5,6,7,8"
273815050,"1,2,3,4,5,6,8,9,10,11,12"
306589000,"1,3,4,5,6,7,8,9,11,12"
310614000,"1,2,3,4,5,6,7"
316026186,"3,4,5,7,8,9"
338100000,"1,2,3,4,5,6,7"
345140500,"1,2,3,4,5,6,7"
367016310,"1,2,3,7,8,9,10,11,12"
367064000,"1,2,3,4,5,6,7,8,9,10,11,12"
367075080,"1,4,5,7,8,9,10,12"
367450270,"1,2,3,4,6,7,8,9,10"
367578250,"2,5,6,7,8,9,10,11,12"
367628440,"1,2,3,4,5,6,7,11,12"
372698000,"1,2,3,4,5,6,7"
377339000,"1,2,3,4,5,6,7,8,9,10,11,12"
403701810,"1,2,3,4,5,6,7,8,9,10"
412002218,"5,6,7,8,9,10"
412040902,"3,4,5,7,8,9,10,11,12"
412201709,"5,9,10,11"
412332164,"4,5,9,10,11"
412333131,"2,3,4,8,9,12"
412348969,"3,4,5,9,10,11,12"
412409229,"1,2,3,4,5,8,9,11"
412410837,"5,9,10,11,12"
412411683,"1,2,3,4,5,8,9,11"
412418238,"1,3,4,9,11,12"
412419462,"1,2,3,4,8,9,11,12"
412419533,"1,3,4,8,9,10,11,12"
412419573,"1,2,3,8,9,10,11,12"
412421896,"1,2,3,4,5,7,8,9,10,11,12"
412422273,"1,3,4,5,10,11,12"
412422649,"1,4,8,9,10,11,12"
412423861,"3,4,5,6,7,8,10,11,12"
412426816,"1,2,3,4,5,9,10,11,12"
412428736,"2,3,4,9,10,11,12"
412432558,"1,3,4,5,10,11,12"
412435055,"1,3,4,5"
412439319,"1,2,3,4,5,11,12"
412444812,"1,2,3,4,5,9,10,11,12"
412444889,"1,2,3,4,5,8,9,10,11,12"
412449093,"1,2,3,4,10,11,12"
412449691,"1,2,3,4,7,8,11,12"
412449876,"3,7,8,9,10,11,12"
412460689,"1,2,3,4,5,8,9,10,11,12"
412460723,"1,2,3,4,5,8,9"
412460726,"2,3,4,8,9"
412460781,"3,4,5,8,9,10,11,12"
412898888,"4,5,6,8,9"
412985000,"1,2,3,4,5,6,7,9"
413205407,"5,6,7,8,9,10,12"
413463160,"1,2,3,4,5,6,7,8,9"
413666218,"4,5,6,7,8,9"
413763254,"1,2,3,4,5,6,7,8,9,10"
413771715,"1,4,6,7,8,9,10,12"
413776038,"1,2,3,4,5,6,7,8,11,12"
413784172,"1,2,4,5,6,7,9"
413806188,"3,4,7,8,9"
413816324,"3,4,5,7"
413905235,"1,3,4,5,7,8,9,12"
413963275,"1,3,4,5,6,7,8,9,10,11"
413970364,"1,2,3,4,5,6,7,8,9,10,11,12"
413976922,"3,4,5,6,8,9,10,12"
413985784,"3,7,8,9,10,11"
413987196,"1,4,6,7,11"
416001414,"2,3,4,5,6"
416002061,"1,2,3,4,5,6,7,8,9,10,11,12"
416002900,"1,2,3,4,5,6,7,8,9,10,11,12"
416003756,"1,2,3,4,5,6,7,8,9,10,11,12"
416003765,"7,8,9,10,11,12"
416004565,"1,3,4,5,6,7,8,9,10,11,12"
416016872,"5,6,7"
416222700,"1,8,9,10"
416500000,"1,2,3,4,5,6,7,8,9,10,11,12"
418197905,"9,10,11,12"
431105000,"3,4,5,6,7,8,9,10,11,12"
431704110,"1,2,3,4,5,6,7,8,10,11,12"
431802000,"1,2,3,4,5,6,7,8,9,10,11,12"
432228000,"1,2,3,4,5,6,7,8,9,10,11,12"
440122190,"3,4,5,6,7,8"
440124480,"8,9,10,11,12"
440126000,"4,5,7,8"
