mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
247149410	http://crowd.globalfishingwatch.org/project/maptests2/task/4135	katepepler,stephanielewis,ninagalle	3			2							1			http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817729&search_type=advanced&search_id=140,http://www.fao.org/figis/vrmf/finder/ICCAT/!/display/vessel/UID/000020020#.Vt-Mt0IrLIUhttp://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000020020#.Vt-N4kIrLIV,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817729&search_type=advanced&search_id=357
250103560	http://crowd.globalfishingwatch.org/project/maptests2/task/4136	katepepler,stephanielewis,ninagalle	3			3										http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030057888#.Vt-OfEIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28117793&search_type=advanced&search_id=6090
251030110	http://crowd.globalfishingwatch.org/project/maptests2/task/4137	stephanielewis,clairechristie,sidneyblack-rotchin,ninagalle	4		2								2			http://www.seafish.org/media/Publications/SeineNetFishingWorkshop_Report_May2008.pdf,https://www.vesselfinder.com/vessels/ARNAR-IMO-0-MMSI-251030110,http://www.sax.is/?gluggi=skip&id=1056,http://www.responsiblefisheries.is/certification/certified-suppliers/
251140740	http://crowd.globalfishingwatch.org/project/maptests2/task/4138	stephanielewis,sidneyblack-rotchin,clairechristie	3						1				1	1	pole and line 	http://www.sax.is/?gluggi=skip&id=2434,https://translate.google.ca/translate?hl=en&sl=is&u=http://www.sax.is/%3Fgluggi%3Dskip%26id%3D2434&prev=search
251243240	http://crowd.globalfishingwatch.org/project/maptests2/task/4139	stephanielewis,sidneyblack-rotchin,ninagalle	3										2	1	Pole and Lines	http://www.sax.is/?gluggi=skip&id=7152
251415540	http://crowd.globalfishingwatch.org/project/maptests2/task/4140	stephanielewis,ninagalle,katepepler	3									1	1	1	Handlines	https://translate.google.ca/translate?hl=en&sl=is&u=http://www.fiskifrettir.is/skipaskra/1859/&prev=searchhttp://www.hibyliogskip.is/index.php/batar/1560-sigga-fraenka-st-71/
251498240	http://crowd.globalfishingwatch.org/project/maptests2/task/4141	stephanielewis,katepepler,sidneyblack-rotchin	3			1			1			1				http://www.sax.is/?gluggi=skip&id=1733
257205500	http://crowd.globalfishingwatch.org/project/maptests2/task/4142	stephanielewis,katepepler,sidneyblack-rotchin	3							3						http://ship-info.com/prog/ship.asp?id=5346447,http://www.marinetraffic.com/en/ais/details/ships/257205500,http://www.marinetraffic.com/en/ais/details/ships/257205500
257225000	http://crowd.globalfishingwatch.org/project/maptests2/task/4143	stephanielewis,katepepler,sidneyblack-rotchin	3	1		2										http://ship-info.com/prog/skip.asp?id=K115607
257647500	http://crowd.globalfishingwatch.org/project/maptests2/task/4144	stephanielewis,katepepler,sidneyblack-rotchin	3		2				1							http://ship-info.com/prog/ship.asp?id=K100843
