mmsi,label,label_score,type,type_score,pybossa_track_checked,track_check_suspicion,fishing?,,
566174000,Longliner,0.88436836,90,1,n,,0,,
572718210,Purse seine,0.973057926,80,1,n,,0,,
574013003,Longliner,0.809677839,70,0.999593331,n,,0,,
601032600,Longliner,0.984707415,36,1,n,,0,,
667001230,Trawler,0.931002915,79,0.977017638,n,,0,,
710012560,Trawler,0.905106723,70,0.997507929,n,,0,,
710472000,Longliner,0.885711014,35,1,n,,0,,
725003280,Purse seine,0.879687607,60,1,n,,0,,
900116912,Trawler,0.886222601,70,1,n,,0,,
416004242,Longliner,0.999927878,37,1,y,longliner,1,,
416731000,Longliner,0.998630941,70,1,y,longliner,1,,
431501545,Longliner,0.999979496,37,1,y,longliner,1,,
431601350,Longliner,0.875885785,37,1,y,longliner,1,,
431900227,Longliner,0.947113514,37,1,y,longliner,1,,
432568000,Longliner,0.999572116,37,1,y,longliner,1,,
440105520,Longliner,0.950790763,20,1,y,longliner,1,,
576690000,Longliner,0.999999285,70,1,y,longliner,1,,
900899965,Purse seine,0.994000316,70,1,y,purse seine,1,,
224770000,Trawler,0.866942525,90,1,y,trawl,1,,
659422000,Trawler,0.985796988,90,1,y,factory trawl,1,,
416046700,Longliner,0.987716377,2,0.828903654,,"unsure, potential purse seiner",1,,
205687000,Trawler,0.851217389,99,0.9986307,,,,,
366920680,Longliner,0.937657475,36,1,,impossible to say,,,
367161340,Longliner,0.973618737,37,1,,,,,
367571490,Longliner,0.859166488,39,1,,impossible to say,,,
412428493,Trawler,0.809272587,37,1,,unsure,,,
413002549,Trawler,0.908487141,70,1,,"impossible to say, potentially fishing",,,
413900088,Trawler,0.868382215,70,1,,bad data,,,
416028700,Longliner,0.99273926,40,0.981245311,,unsure,,,
503013020,Longliner,0.836417139,36,1,,no data,,,
657429000,Longliner,0.913349748,20,0.998095238,,"unsure, task 4384 incomplete",,,
982358863,Purse seine,0.957719088,53,1,,,,,
