MMSI,IMO,Name,Call Sign,SPRFMO registered?,authorized,Vessel Type ,Call Sign ,Reviewer,Notes
412331066,,LU RONG YUAN YU 897,BCFC3,No,No,,,BB,
224888000,0,SANTA MARINA,EEMX,,,,,,
440100000,8821292,5INSUNG,DTBZ8,,,,,,
900028873,0,ZHOUYU6,BZ7UU,,,,,,
900028639,,,,,,,,,
900028534,,,,,,,,,
527138441,,LU RONG YUAN YU 883,,,,,,,
200006667,,,,,,,,,
441868000,9202687,KOSTAR,6KCB6,,,,,,
374734000,9153214,HAI GONG YOU 309,3ERA8,,,,,,
440652000,8614352,NO.808 TONG YOUNG,DTBS9,,,,,,
413404410,,XINSHIJI98,BZ5UM,,,,,,
1,7912094,CAPE FINISTERRE,WDA4699,,,,,,
900028618,,,,,,,,,
636014431,9382190,PAXOI,A8TU5,,,,,,
538005932,9208605,ANGEL 17,V7IF2,,,,,,
440755000,9012355,HONGJIN701,6KSN,,,,,,
636013103,8517061,M/T SEAFROST,A8KP6,,,,,,
200006661,,LU RONG YUAN YU 829,BCFA,,,,,,
900028619,,,,,,,,,
900028867,,ZHOUYU5,BZ6UU,,,,,,
441051000,8312851,SURESTE707,DTAI8,,,,,,
224004000,8802349,PLAYA DA CATIVA,EHTR,,,,,,
441864000,8978071,SUNSTAR,6KCB,,,,,,
374445000,8609292,QIHANG,3EAT9,,,,,,
374198000,9135169,HAI FENG 718,3FIC4,,,,,,
351478000,8908076,ATMODA,3FNT8,,,,,,
224567000,8120521,PATRICIA NORES,EDHP,,,,,,
900028621,,,,,,,,,
900028533,,,,,,,,,
224770000,9306598,PLAYA PESMAR DOS,ECCI,,,,,,
311259000,9232802,CEDAR ARROW,C6RZ7,,,,,,
