mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
412444812,Trawler,not_known,0,0.57,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4188,,
412444889,Purse seine,not_known,0,0.68,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4189,,
412449093,Purse seine,not_known,0,0.95,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4190,,
412449691,Purse seine,not_known,0,0.72,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4191,,
412449876,Purse seine,not_known,0,0.76,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4192,,
412460689,Trawler,not_known,0,0.59,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4193,,
412460723,Trawler,not_known,0,0.83,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4194,,
412460726,Trawler,not_known,0,0.69,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4195,,
412460781,Trawler,not_known,0,0.8,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4196,,
412985000,Longliner,not_known,0,1,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4198,,
413205407,Trawler,not_known,0,0.69,30,0.997931748,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4199,,
413763254,Trawler,not_known,0,0.93,70,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4202,,
413816324,Purse seine,not_known,0,0.97,30,0.994851995,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4207,,
416002061,Longliner,not_known,0,1,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4215,,
416003756,Longliner,not_known,0,1,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4217,,
416004565,Longliner,not_known,0,1,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4219,,
416016872,Longliner,not_known,0,0.59,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4220,,
200008088,Longliner,not_known,0,0.96,40,0.987394958,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4546,,
