mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
227297000,Longliner,not_fishing,0,0.73,38,0.900015762,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4586,,
227300110,Longliner,other,0,0.5,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4587,"trammel nets,multi_gear,",
227338180,Trawler,not_fishing,0,0.77,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4588,,
228107800,Trawler,other,0,0.56,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4591,"multi_gear,multi_gear,",
205250790,Purse seine,not_fishing,0,0.57,55,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4548,,
210687000,Trawler,not_fishing,0,0.75,90,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4550,,
211439790,Purse seine,not_fishing,0,0.61,36,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4552,,
211543070,Longliner,not_fishing,0,0.55,37,1,0.833333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4554,,
224014850,Purse seine,purse_seine,1,0.63,30,1,0.75,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4560,,
271072496,Purse seine,purse_seine,1,0.79,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4148,,
224047430,Trawler,trawler,1,0.76,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4564,,
224239970,Longliner,longliner,1,0.57,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4573,,
200000075,Trawler,not_fishing,0,0.52,50,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4109,,
214182117,Trawler,reefer,0,0.5,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4112,,
247149410,Longliner,trawler,0,0.51,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4135,,
251415540,Purse seine,other,0,0.51,30,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4140,"handlines,baddata,",
265613880,Purse seine,not_fishing,0,0.64,49,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4146,,
316026186,Purse seine,not_fishing,0,0.63,37,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4154,,
413463160,Trawler,not_fishing,0,0.55,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4200,,
413784172,Trawler,not_fishing,0,0.51,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4205,,
413976922,Purse seine,not_fishing,0,0.68,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4211,,
418197905,Trawler,not_fishing,0,0.86,70,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4223,,
466161000,Purse seine,not_fishing,0,0.57,91,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4234,,
525012084,Trawler,not_fishing,0,0.51,31,0.998058252,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4236,,
205524010,Longliner,not_fishing,0,0.64,36,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4549,,
224098360,Trawler,not_fishing,0,0.68,36,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4568,,
224792000,Purse seine,longliner,0,0.79,99,1,0.666666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4577,,
224104340,Purse seine,purse_seine,1,0.54,30,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4113,,
251030110,Trawler,purse_seine,0,0.84,30,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4137,,
200007580,Trawler,not_fishing,0,0.68,70,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4545,,
224854000,Longliner,trawler,0,1,99,0.995951417,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4578,,
225019240,Purse seine,longliner,0,0.86,30,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4581,,
226011210,Purse seine,not_fishing,0,0.94,79,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4582,,
227222590,Longliner,not_fishing,0,0.86,37,1,0.5,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4584,,
200001929,Purse seine,not_fishing,0,0.8,30,0.503703704,0.428571429,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4541,,
412432558,Purse seine,purse_seine,1,0.88,94,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4185,,
416001414,Longliner,longliner,1,1,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4214,,
416500000,Purse seine,purse_seine,1,1,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4222,,
431105000,Longliner,longliner,1,0.99,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4224,,
12345888,Purse seine,not_fishing,0,0.53,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4108,,
251243240,Longliner,other,0,0.63,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4139,"pole and lines,",
412040902,Purse seine,other,0,0.78,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4167,"baddata,",
412201709,Trawler,other,0,0.81,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4168,"baddata,",
412332164,Purse seine,other,0,0.54,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4169,"baddata,",
412333131,Purse seine,other,0,0.62,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4170,"baddata,",
412348969,Purse seine,other,0,0.98,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4171,"baddata,",
412898888,Purse seine,not_fishing,0,0.58,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4197,,
413666218,Purse seine,not_fishing,0,0.52,70,0.999484802,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4201,,
413771715,Purse seine,not_fishing,0,0.58,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4203,,
413776038,Purse seine,not_fishing,0,0.69,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4204,,
413806188,Trawler,other,0,0.98,70,0.990769231,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4206,"baddata,",
413905235,Trawler,not_fishing,0,0.88,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4208,,
413963275,Trawler,not_fishing,0,0.69,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4209,,
413970364,Purse seine,not_fishing,0,0.87,70,0.979057592,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4210,,
413985784,Purse seine,not_fishing,0,0.98,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4212,,
413987196,Trawler,not_fishing,0,0.91,70,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4213,,
416002900,Longliner,otherfish,0,1,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4216,,
416003765,Purse seine,longliner,0,0.72,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4218,,
440124480,Trawler,purse_seine,0,0.68,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4229,,
800019314,Purse seine,other,0,0.67,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4246,"baddata,",
800026188,Trawler,other,0,0.53,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4247,"baddata,",
900022910,Purse seine,other,0,0.63,30,1,0.333333333,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4248,"baddata,",
225378000,Longliner,"longliner:3,purse_seine:1",0,0.85,30,1,0.3,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4115,,
