mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
800017081,http://crowd.globalfishingwatch.org/project/maptests2/task/433,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher",4,,,,,,,,1,1,2,,,
412444796,http://crowd.globalfishingwatch.org/project/maptests2/task/434,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher",4,,,,,,1,,,,3,,,
412286699,http://crowd.globalfishingwatch.org/project/maptests2/task/435,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher,clairechristie",5,,,,,,,,,1,4,,,
413011032,http://crowd.globalfishingwatch.org/project/maptests2/task/436,"vaiduke2,kristinaboerder,juliecharbonneau,clairechristie,isabelfleisher,sidneyblack-rotchin",6,,,,,,,,,1,5,,,
432845000,http://crowd.globalfishingwatch.org/project/maptests2/task/437,"vaiduke2,kristinaboerder,juliecharbonneau,clairechristie,isabelfleisher,sidneyblack-rotchin",6,,4,,,,,,,,1,1,https://www.wcpfc.int/node/17661,"https://www.wcpfc.int/node/17661,https://www.wcpfc.int/node/17661,http://www.fao.org/figis/vrmf/finder/!/display/vessel/IMO/9634749,https://www.wcpfc.int/node/17661"
412412715,http://crowd.globalfishingwatch.org/project/maptests2/task/438,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher,katepepler,sidneyblack-rotchin",6,,1,1,,,,,,,3,1,",",other fishing 
219019804,http://crowd.globalfishingwatch.org/project/maptests2/task/439,"vaiduke2,kristinaboerder,juliecharbonneau,katepepler,isabelfleisher",5,,,4,,,,,,1,,,,"other fishing ,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27965699&search_type=advanced&search_id=3664,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27939797&search_type=advanced&search_id=4602,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27939797&search_type=advanced&search_id=7692,http://www.vesseltracker.com/en/Ships/Hg-100-Noomi-I211325.html?show=routing"
412421803,http://crowd.globalfishingwatch.org/project/maptests2/task/440,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher,sidneyblack-rotchin",5,,,,,,,,,,4,1,",",other fishing 
412449545,http://crowd.globalfishingwatch.org/project/maptests2/task/441,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher",4,,,,,,,,,,3,1,",",other fishing 
412416335,http://crowd.globalfishingwatch.org/project/maptests2/task/442,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher",4,,,,,,,,,1,3,,,
231184000,http://crowd.globalfishingwatch.org/project/maptests2/task/443,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher",4,2,,,,,1,,,,,1,Jigger,"http://www.pbase.com/regint/image/128273011,https://www.msc.org/track-a-fishery/fisheries-in-the-program/certified/north-east-atlantic/Faroe_island_saithe/assessment-downloads-1/20150709_SR_SAI353.pdf,http://www.fiskerforum.dk/en/fishingboatinfo/default.asp?mode=kutter_3&kutterId=4047"
701000662,http://crowd.globalfishingwatch.org/project/maptests2/task/444,"vaiduke2,kristinaboerder,juliecharbonneau,sidneyblack-rotchin,katepepler",5,,,4,,,,,,,1,,,"http://www.marinetraffic.com/en/ais/details/ships/701000662,http://www.shipspotting.com/gallery/photo.php?lid=2301477,http://www.marinetraffic.com/ais/details/ships/shipid:770919/mmsi:701000662/imo:9053763/vessel:ARBUMASA_XVI,https://gisis.imo.org/Public/SHIPS/Default.aspx"
725009500,http://crowd.globalfishingwatch.org/project/maptests2/task/445,"vaiduke2,kristinaboerder,juliecharbonneau,katepepler",4,,3,1,,,,,,,,,,"https://www.vesselfinder.com/vessels/FRANCISCO-IMO-9055943,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/014000109,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/014000109#.VrkTpPkrLIU"
412360539,http://crowd.globalfishingwatch.org/project/maptests2/task/446,"vaiduke2,kristinaboerder,stephanielewis,ninagalle,cailinburmaster,AlexCerra",6,,,1,,,1,,,,4,,,https://www.vesselfinder.com/ca/vessels/LUDONGYU60539-IMO-0-MMSI-412360539
900658520,http://crowd.globalfishingwatch.org/project/maptests2/task/447,"vaiduke2,kristinaboerder,stephanielewis,cailinburmaster,AlexCerra,juliecharbonneau",6,,,,,,1,,,,5,,,
412441214,http://crowd.globalfishingwatch.org/project/maptests2/task/448,"vaiduke2,kristinaboerder,stephanielewis,AlexCerra,cailinburmaster",5,,,,,,1,,,,4,,,
257705500,http://crowd.globalfishingwatch.org/project/maptests2/task/449,"vaiduke2,kristinaboerder,juliecharbonneau,clairechristie",4,,1,,,,2,,,,,1,Multi-purpose,"https://www.portmaps.com/eng/Aiss/sjoglimt-257705500,http://ship-info.com/prog/ship.asp?id=K100983"
900405802,http://crowd.globalfishingwatch.org/project/maptests2/task/450,"vaiduke2,cailinburmaster,kristinaboerder,AlexCerra",4,,,,,,,,,1,3,,,http://ship-info.com/prog/ship.asp?id=K100983
247051730,http://crowd.globalfishingwatch.org/project/maptests2/task/451,"vaiduke2,cailinburmaster,AlexCerra,juliecharbonneau",4,,,4,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27648159&search_type=simple&search_id=6061,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.ListSearchSimple,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.ListSearchSimple,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27648159&search_type=advanced&search_id=5501"
257001210,http://crowd.globalfishingwatch.org/project/maptests2/task/452,"vaiduke2,kristinaboerder,cailinburmaster,juliecharbonneau",4,,,,,,2,,,2,,,,"http://ship-info.com/prog/ship.asp?id=K100983,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.ListSearchSimple,http://ship-info.com/prog/ship.asp?id=K153944"
412596013,http://crowd.globalfishingwatch.org/project/maptests2/task/453,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,,,,1,,,,3,,,http://ship-info.com/prog/ship.asp?id=K100983
412450746,http://crowd.globalfishingwatch.org/project/maptests2/task/454,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,,,,1,,,,3,,,http://ship-info.com/prog/ship.asp?id=K100983
412123411,http://crowd.globalfishingwatch.org/project/maptests2/task/455,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,,,,1,,,,3,,,http://ship-info.com/prog/ship.asp?id=K100983
265502370,http://crowd.globalfishingwatch.org/project/maptests2/task/456,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,4,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27558645&search_type=simple&search_id=6458,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27558649&search_type=advanced&search_id=857,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27558649&search_type=advanced&search_id=4515,http://www.fao.org/figis/vrmf/finder/search/#quick"
251415640,http://crowd.globalfishingwatch.org/project/maptests2/task/457,"vaiduke2,kristinaboerder,AlexCerra,juliecharbonneau",4,,,,,,3,,,1,,,,"http://sax.is/?gluggi=skip&id=2441,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27558649&search_type=advanced&search_id=857"
800028837,http://crowd.globalfishingwatch.org/project/maptests2/task/458,"vaiduke2,kristinaboerder,juliecharbonneau,ninagalle",4,,,,,,,,,1,3,,,
