mmsi,label,label_score,type,type_score
257205500,Trawler,0.930290163,52,0.99997305
412426816,Trawler,0.735049367,30,1
412423861,Trawler,0.700242519,30,1
412444812,Trawler,0.572199464,30,1
563004750,Trawler,0.862963021,31,1
412439347,Trawler,0.823277652,30,1
413205407,Trawler,0.69269383,30,0.997931748
226220000,Trawler,0.99992907,30,1
237149000,Trawler,0.931748509,30,1
440126000,Trawler,0.798226833,51,1
413905235,Trawler,0.878669977,70,1
413463160,Trawler,0.553725362,70,1
412460781,Trawler,0.795149624,30,1
257647500,Trawler,0.915354311,30,1
247081680,Trawler,0.816433191,30,1
412419462,Trawler,0.67393446,30,1
250103560,Trawler,0.999953747,90,1
214182117,Trawler,0.500379801,70,1
412460689,Trawler,0.592571914,30,1
412422273,Trawler,0.5010975,30,1
247073090,Trawler,0.514039338,30,1
983712351,Trawler,0.763041794,31,1
367064000,Trawler,0.998255193,30,1
200000075,Trawler,0.519858539,50,1
251030110,Trawler,0.835231483,30,1
412418238,Trawler,0.834671438,30,1
418197905,Trawler,0.858758926,70,1
800026188,Trawler,0.533885777,30,1
525012084,Trawler,0.505342126,31,0.998058252
377339000,Trawler,0.998701453,70,1
412435055,Trawler,0.745484233,30,1
413963275,Trawler,0.687222362,70,1
412422649,Trawler,0.640591979,30,1
273375800,Trawler,0.57466346,70,1
412421896,Trawler,0.652968049,30,1
31305246,Trawler,0.694544315,79,1
412410837,Trawler,0.741830468,30,1
412460723,Trawler,0.828948081,30,1
412439319,Trawler,0.775444508,30,1
413987196,Trawler,0.908168197,70,1
440124480,Trawler,0.682358921,30,1
413666218,Purse seine,0.516060889,70,0.999484802
235103844,Purse seine,0.789147198,40,1
412333131,Purse seine,0.6201967,70,1
413771715,Purse seine,0.584826708,70,1
244391106,Purse seine,0.626777172,36,1
466161000,Purse seine,0.573534131,91,1
80247,Purse seine,0.999956965,90,0.25
800019314,Purse seine,0.674624741,30,1
271072022,Purse seine,0.519085407,30,1
412348969,Purse seine,0.977339208,30,1
412419573,Purse seine,0.895273149,30,1
440151310,Purse seine,0.834152699,37,1
412002218,Purse seine,0.977292657,30,1
412444889,Purse seine,0.682795584,30,1
235009920,Purse seine,0.595072925,35,1
412449093,Purse seine,0.947354376,30,1
412449876,Purse seine,0.762686133,30,1
367450270,Purse seine,0.750739157,36,1
200140810,Purse seine,0.589127004,30,1
412040902,Purse seine,0.776074708,30,1
251415540,Purse seine,0.506303191,30,1
345140500,Purse seine,0.689358234,30,1
416500000,Purse seine,0.999965984,30,1
412332164,Purse seine,0.544747293,30,1
412428736,Purse seine,0.879969835,30,1
412409229,Purse seine,0.793214202,30,1
251140740,Purse seine,0.528269589,30,1
412419533,Purse seine,0.925438941,30,1
412449691,Purse seine,0.716886342,30,1
416003765,Purse seine,0.723515153,30,1
224104340,Purse seine,0.543310761,30,1
412898888,Purse seine,0.579561174,70,1
227698770,Purse seine,0.797213733,50,1
227069470,Purse seine,0.690346003,36,1
412411683,Purse seine,0.807344675,30,1
412410841,Purse seine,0.957818389,30,1
225981169,Purse seine,0.74135381,36,1
12345888,Purse seine,0.528838038,70,1
271072496,Purse seine,0.78996855,30,1
258094960,Purse seine,0.552298605,37,1
413816324,Purse seine,0.974799633,30,0.994851995
316026186,Purse seine,0.626346469,37,1
412432558,Purse seine,0.876181006,94,1
403701810,Purse seine,0.802813768,54,1
265613880,Purse seine,0.641491234,49,1
413976922,Purse seine,0.678347468,70,1
413970364,Purse seine,0.865109324,70,0.979057592
413985784,Purse seine,0.975715756,70,1
900022910,Purse seine,0.634835243,30,1
413776038,Purse seine,0.689229727,70,1
800043191,Trawler,0.546074271,30,1
412422389,Trawler,0.658605993,30,1
412437036,Trawler,0.755111456,30,1
210687000,Trawler,0.749926209,90,1
273437550,Trawler,0.992612168,30,1
413777082,Trawler,0.549122572,74,0.999327052
200003926,Trawler,0.724957228,70,1
413809419,Trawler,0.664659917,70,1
413793827,Trawler,0.599341571,70,0.983451537
412441901,Trawler,0.821448624,132,0.590361446
412205571,Trawler,0.706752837,30,1
413769277,Trawler,0.764136612,70,1
413805503,Trawler,0.880272448,70,1
413033315,Trawler,0.614538312,30,1
413902824,Trawler,0.807298779,70,1
789000000,Trawler,0.877881289,52,0.682983683
412437524,Trawler,0.836179197,30,1
412465186,Trawler,0.560589492,30,1
412320451,Trawler,0.590016067,30,1
200007198,Trawler,0.765886962,30,1
333305766,Trawler,0.568705559,30,1
211315630,Trawler,0.555755973,30,1
412437605,Trawler,0.593923509,30,1
525022073,Trawler,0.756743848,32,1
565308000,Trawler,0.528968453,52,0.998966942
412460762,Trawler,0.743766069,30,1
245348000,Trawler,0.926272094,30,0.99990816
412463326,Trawler,0.820490122,52,0.841352406
413972526,Trawler,0.784633875,53,0.863834423
413988721,Trawler,0.848681927,70,1
312027000,Trawler,0.96338149,30,1
237287000,Trawler,0.601865351,30,1
413568929,Trawler,0.852420926,30,1
412433621,Trawler,0.700203896,30,1
412400072,Trawler,0.904918015,30,1
422064200,Trawler,0.604065776,70,1
228107800,Trawler,0.562413573,30,1
412436849,Trawler,0.669051409,30,1
413822718,Trawler,0.666816831,70,1
412449955,Trawler,0.755761027,30,1
412424657,Trawler,0.874471486,30,1
413793802,Trawler,0.773187518,70,1
412444542,Trawler,0.882765472,30,1
431402000,Trawler,0.82227397,90,1
244620656,Trawler,0.522660315,36,1
412327561,Trawler,0.538597345,30,1
227468000,Trawler,0.983854353,30,1
412442226,Trawler,0.660331011,30,1
412430318,Trawler,0.582816362,30,0.98245614
356076000,Trawler,0.855391562,70,1
273213010,Trawler,0.995562455,30,1
412452175,Trawler,0.822882891,30,1
