mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
224020170,http://crowd.globalfishingwatch.org/project/maptests2/task/4050,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ciarawillis,clairechristie,isabelfleisher,cailinburmaster",8,7,,,,,,,,,1,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/ID/000469771,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28070435&search_type=simple&search_id=2081,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28070435&search_type=advanced&search_id=9407,http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/EU_CFR/ESP000022616#.VtDYKPIrLIU,http://www.magrama.gob.es/gl/pesca/temas/la-pesca-en-espana/censo-de-la-flota-pesquera/consulta.asp,http://www.fao.org/figis/vrmf/finder/search/#stats"
224072890,http://crowd.globalfishingwatch.org/project/maptests2/task/4051,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ciarawillis,clairechristie,kristinaboerder,cailinburmaster,isabelfleisher,ninagalle",10,1,,8,,,,,,,1,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030032192#.Vs5imvkrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28061541&search_type=simple&search_id=4596,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28061541&search_type=advanced&search_id=6862,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28061539&search_type=advanced&search_id=327,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030032192#.VtDZ2fIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28061541&search_type=advanced&search_id=9685,http://www.fao.org/figis/vrmf/finder/search/#stats,http://www.magrama.gob.es/gl/pesca/temas/la-pesca-en-espana/censo-de-la-flota-pesquera/consulta.asp,http://www.fao.org/figis/vrmf/finder/search/#quick"
224082260,http://crowd.globalfishingwatch.org/project/maptests2/task/4052,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ciarawillis,clairechristie,kristinaboerder,isabelfleisher,ninagalle,cailinburmaster",10,10,,,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000001493#.Vs5jV_krLIV,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28026049&search_type=simple&search_id=346,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28026049&search_type=advanced&search_id=907,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28026049&search_type=advanced&search_id=6443,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015175/#.VtDadPIrLIU,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015175#.VtWryryufVo,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28026049&search_type=advanced&search_id=9685,http://www.fao.org/figis/vrmf/finder/IATTC/!/display/vessel/UID/000001493,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28026049&search_type=advanced&search_id=4239,http://www.fao.org/figis/vrmf/finder/search/#quick"
224100530,http://crowd.globalfishingwatch.org/project/maptests2/task/4053,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ciarawillis,clairechristie,kristinaboerder,isabelfleisher,ninagalle,cailinburmaster",10,7,,2,,,,,,,,1,Looks like a trawler but website says longline,"http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000008212#.Vs5kKPkrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28030225&search_type=simple&search_id=6220,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28030225&search_type=advanced&search_id=2645,http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000008212#.VtDeVPIrLIU,http://www.marinetraffic.com/en/ais/details/ships/224100530,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28030225&search_type=advanced&search_id=9685,http://www.shippingexplorer.net/en/ship/gabriela-y-maria/2624186,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28030225&search_type=advanced&search_id=4239"
224276000,http://crowd.globalfishingwatch.org/project/maptests2/task/4054,"stephanielewis,sidneyblack-rotchin,juliecharbonneau,katepepler,ciarawillis,kristinaboerder,clairechristie,isabelfleisher,ninagalle,cailinburmaster",10,,1,2,,,,,,4,3,,,"https://www.vesselfinder.com/?mmsi=224276000,https://www.vesselfinder.com/vessels/ZAHARA-UNO-IMO-9292321-MMSI-355229000,http://www.fao.org/figis/vrmf/finder/search/#quick"
224303000,http://crowd.globalfishingwatch.org/project/maptests2/task/4055,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,3,1,,,1,1,,,2,1,Says purse seine but the data is bad,"http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000008216#.Vs5mrfkrLIU,http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000008216#.Vs9bAPkrLIU,http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000008216#.VtDhM_IrLIU,http://www.fao.org/figis/vrmf/finder/search/#basic,https://www.vesselfinder.com/fr/?mmsi=224303000,http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000008216#.VtYaA7yufVo,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.fao.org/figis/vrmf/finder/search/#quick"
224307000,http://crowd.globalfishingwatch.org/project/maptests2/task/4056,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,isabelfleisher,ninagalle,cailinburmaster",8,,3,,,,,,,2,2,1,Says purse seine but data is bad,"http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000008169#.Vs5nHvkrLIU,http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000008169#.Vs9crvkrLIU,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013014517#.VtDhxfIrLIU,http://www.fao.org/figis/vrmf/finder/search/#basic,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28049462&search_type=simple&search_id=6353"
227146300,http://crowd.globalfishingwatch.org/project/maptests2/task/4057,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,9,,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015585,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28211333&search_type=advanced&search_id=3086,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015585#.VtDj9fIrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28211321&search_type=advanced&search_id=3038,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28211333&search_type=simple&search_id=7812,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015585#.Vtc0yryufVo,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015585,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28211333&search_type=advanced&search_id=2633,http://www.fao.org/figis/vrmf/finder/search/#quick"
227370000,http://crowd.globalfishingwatch.org/project/maptests2/task/4058,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,8,1,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000001739#.Vs5r_PkrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28343108&search_type=advanced&search_id=1070,http://www.fao.org/figis/vrmf/finder/EU/!/display/vessel/UID/000001739#.VtDkg_IrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28343108&search_type=advanced&search_id=3038,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28343108&search_type=simple&search_id=7812,http://www.shipspotting.com/gallery/photo.php?lid=833464,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28343108&search_type=advanced&search_id=2633"
227503000,http://crowd.globalfishingwatch.org/project/maptests2/task/4059,"stephanielewis,juliecharbonneau,ciarawillis,katepepler,sidneyblack-rotchin,clairechristie,isabelfleisher,ninagalle,cailinburmaster",9,,9,,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/IOTC/!/display/vessel/UID/000001461#.Vs5s3fkrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28297041&search_type=advanced&search_id=5514,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013015726/#.VtMvF_IrLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28297041&search_type=advanced&search_id=896,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28297041&search_type=simple&search_id=8222,http://www.bateaux-fecamp.fr/jean-marie-christian-3/,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28297041&search_type=advanced&search_id=2633"
